ORDNUM,MENUNUM,ORDQUAN
1,5,3
2,5,3
3,8,3
4,8,1
5,4,2
6,14,2
7,8,2
8,11,3
9,5,2
9,8,1
9,11,3
10,13,2
11,10,1
12,12,3
13,8,3
14,5,2
14,13,3
15,4,3
16,8,3
16,13,1
17,11,1
18,4,3
19,14,1
20,5,1
21,13,2
22,5,2
23,1,2
24,2,3
24,8,1
25,2,2
26,5,3
27,3,3
28,9,3
28,13,3
29,5,3
30,4,2
31,12,2
32,11,2
33,8,1
34,2,1
35,13,3
36,7,1
36,12,3
37,2,3
38,9,2
39,1,3
40,3,3
41,8,3
42,6,3
43,2,1
43,9,1
43,11,3
44,14,1
45,13,1
45,14,1
46,3,3
47,4,3
48,9,1
49,9,1
50,5,3
51,1,3
51,10,3
51,11,2
52,5,3
52,6,2
52,13,1
53,10,3
54,2,1
54,6,2
55,11,2
56,9,2
57,2,2
58,1,3
59,4,2
60,4,1
61,3,2
62,14,1
63,9,1
63,11,3
63,14,1
64,12,2
64,14,2
65,11,3
66,14,2
67,4,1
67,10,1
67,14,1
68,4,2
69,13,2
70,13,1
71,5,1
72,1,3
72,2,1
72,12,2
73,11,3
74,4,3
74,5,3
74,13,1
75,4,3
76,1,2
76,9,2
76,13,2
77,9,3
77,12,1
78,12,1
79,6,2
80,2,1
80,13,2
81,5,2
81,11,1
82,8,3
83,11,3
84,5,3
84,9,1
85,10,3
86,14,3
87,7,2
87,10,1
88,5,3
89,3,3
89,12,2
90,8,1
91,6,3
91,7,1
91,12,2
92,9,2
93,10,3
93,13,3
94,1,2
95,3,2
96,4,2
97,12,3
98,7,1
99,5,1
99,11,1
99,14,3
100,3,3
101,1,3
101,10,2
101,12,3
102,1,3
103,1,1
103,12,2
103,14,2
104,1,2
104,3,1
104,4,2
105,4,3
105,14,2
106,6,1
107,8,3
108,5,2
109,3,2
110,3,3
110,8,2
110,12,2
111,4,2
112,8,2
112,10,2
112,11,2
113,11,3
114,4,1
114,7,3
114,13,3
115,8,2
116,1,3
117,1,3
118,7,3
119,4,1
120,9,1
121,7,1
121,10,3
121,12,2
122,6,2
123,4,2
123,6,2
124,1,3
124,10,1
124,12,3
125,10,1
126,6,3
126,13,2
127,3,1
127,10,3
128,4,2
129,12,1
130,3,3
131,1,1
132,7,2
133,12,3
134,14,2
135,1,3
135,14,1
136,14,1
137,8,3
138,5,1
138,8,3
138,12,2
139,4,3
139,6,1
139,9,2
140,12,3
141,1,1
142,11,3
143,9,3
144,8,2
145,8,3
146,2,3
147,1,2
148,13,2
149,2,1
150,13,1
151,14,1
152,3,1
152,13,1
153,2,3
154,8,2
155,10,1
156,1,2
157,5,3
158,9,3
159,5,1
160,7,1
161,7,1
162,14,1
163,14,1
164,12,3
165,2,2
166,9,2
167,10,2
