ORDNUM,ORDSTATUS,TOTAL,CUSNUM,ORDTIME,ORDTYPE,RESNUM
1,완료,6000,,2019-05-25 14:15:50,매장,
2,완료,6000,,2019-05-26 13:24:13,테이크아웃,
3,완료,12000,,2019-05-26 13:35:33,테이크아웃,
4,완료,4000,,2019-05-26 14:17:38,테이크아웃,
5,완료,7000,,2019-05-22 21:20:39,테이크아웃,
6,완료,11000,,2019-05-25 16:20:27,테이크아웃,
7,완료,8000,,2019-05-20 22:58:10,테이크아웃,
8,취소,16500,,2019-05-23 07:39:52,테이크아웃,
9,완료,24500,,2019-05-20 21:17:09,테이크아웃,
10,완료,10000,1,2019-05-23 21:40:38,테이크아웃,
11,완료,4000,1,2019-05-26 11:21:37,테이크아웃,
12,완료,15000,1,2019-05-26 19:35:28,테이크아웃,
13,완료,12000,,2019-05-26 14:21:18,매장,
14,완료,19000,1,2019-05-22 13:16:40,테이크아웃,
15,완료,10500,1,2019-05-23 16:31:53,테이크아웃,
16,완료,17000,1,2019-05-20 16:35:01,매장,
17,완료,5500,2,2019-05-26 12:21:00,매장,
18,완료,10500,1,2019-05-26 15:16:07,테이크아웃,
19,완료,5500,1,2019-05-23 11:47:59,매장,
20,완료,2000,,2019-05-25 12:11:22,테이크아웃,
21,완료,10000,1,2019-05-21 21:36:04,테이크아웃,
22,완료,4000,1,2019-05-26 11:34:26,매장,
23,취소,3000,1,2019-05-26 22:26:15,테이크아웃,
24,완료,8500,,2019-05-20 15:20:30,매장,
25,완료,3000,,2019-05-22 12:41:19,테이크아웃,
26,완료,6000,,2019-05-20 08:04:50,매장,
27,완료,9000,1,2019-05-26 23:41:26,테이크아웃,
28,완료,27000,2,2019-05-23 09:00:29,매장,
29,완료,6000,1,2019-05-20 07:47:26,테이크아웃,
30,완료,7000,3,2019-05-22 11:14:28,테이크아웃,
31,완료,10000,3,2019-05-22 15:55:10,테이크아웃,
32,완료,11000,4,2019-05-26 18:05:51,테이크아웃,
