RESNUM, RESTIME, PEOPLE, CUSNUM
1,2019-05-26 19:54:51,7,687
2,2019-05-26 14:33:46,7,688
3,2019-05-26 14:17:51,9,689
4,2019-05-23 13:14:02,7,404
5,2019-05-22 21:38:39,4,54
6,2019-05-22 19:26:42,9,692
7,2019-05-22 11:02:51,8,693
8,2019-05-25 11:37:35,6,491
9,2019-05-20 08:09:41,2,353
10,2019-05-25 13:36:40,10,645
11,2019-05-26 23:21:06,1,332
12,2019-05-26 12:53:15,2,432
13,2019-05-25 11:10:07,5,51
14,2019-05-23 13:28:38,9,146
15,2019-05-26 23:18:44,3,392
16,2019-05-20 12:15:14,5,332
17,2019-05-20 13:41:51,1,696
18,2019-05-22 22:33:45,2,553
19,2019-05-23 08:13:58,3,697
20,2019-05-23 13:24:04,2,698
